bucket,count,mean_accuracy,median_accuracy,mean_precision,median_precision,mean_recall,median_recall,mean_f1,median_f1,mean_n_equations,mean_n_edges
2,27,0.8764727997098137,0.9015151515151515,0.45250766668895326,0.4666666666666667,0.4305009805009805,0.42857142857142855,0.4360608315191412,0.4615384615384615,10.296296296296296,6.222222222222222
4,12,0.8823205607745082,0.8882367632367631,0.3186776186776187,0.3,0.30040711603211606,0.2863636363636364,0.30816693132058154,0.2928571428571428,12.166666666666666,9.0
3,10,0.8750269175269174,0.8878787878787879,0.4457833832833833,0.4772727272727273,0.3820464923793097,0.3798076923076923,0.40817087770876653,0.4361413043478261,10.1,7.4
0-1,9,0.8647186147186148,0.875,0.5136844636844636,0.5,0.5333774250440917,0.5,0.5184251478369126,0.47058823529411764,6.333333333333333,3.0
7-10,4,0.8793129957990639,0.8712121212121212,0.22748316498316498,0.2222222222222222,0.17965367965367965,0.18181818181818182,0.19907773386034253,0.19999999999999998,15.25,18.0
5-6,2,0.8742257742257742,0.8742257742257742,0.3307692307692308,0.3307692307692308,0.2833333333333333,0.2833333333333333,0.3051948051948052,0.3051948051948052,11.5,9.5
