article_id,n_equations,n_edges,longest_path,accuracy,precision,recall,f1,bucket
0903.0173,18,11,4,0.935672514619883,0.3888888888888889,0.3888888888888889,0.3888888888888889,4
0907.2648,10,8,3,0.8818181818181818,0.5,0.38461538461538464,0.4347826086956522,3
0907.2870,10,11,4,0.8363636363636363,0.3,0.21428571428571427,0.25,4
0907.2872,10,10,6,0.8363636363636363,0.2,0.16666666666666666,0.1818181818181818,5-6
0907.2959,18,18,8,0.9064327485380117,0.2222222222222222,0.18181818181818182,0.19999999999999998,7-10
0907.3028,6,5,3,0.7857142857142857,0.3333333333333333,0.2857142857142857,0.30769230769230765,3
0907.3206,8,4,2,0.9111111111111111,0.5555555555555556,0.5555555555555556,0.5555555555555556,2
0908.0117,11,4,2,0.9476190476190476,0.5,0.6363636363636364,0.56,2
1212.6098,5,4,2,0.7666666666666667,0.4,0.3333333333333333,0.3636363636363636,2
1301.0165,7,4,2,0.8571428571428571,0.42857142857142855,0.42857142857142855,0.42857142857142855,2
1301.0183,15,11,4,0.9083333333333333,0.26666666666666666,0.26666666666666666,0.26666666666666666,4
1301.0880,6,3,3,0.8571428571428571,0.5,0.5,0.5,3
1312.7345,4,3,2,0.7,0.25,0.25,0.25,2
1312.7761,9,4,2,0.9111111111111111,0.5555555555555556,0.5555555555555556,0.5555555555555556,2
1312.7860,14,5,4,0.9523809523809523,0.6428571428571429,0.6428571428571429,0.6428571428571429,4
1409.0010,5,3,2,0.8571428571428571,0.5,0.5,0.5,2
1409.0110,10,6,1,0.9015151515151515,0.36363636363636365,0.4,0.380952380952381,0-1
1409.0380,11,11,2,0.8636363636363636,0.36363636363636365,0.26666666666666666,0.30769230769230765,2
1501.05606,9,7,4,0.8333333333333334,0.2222222222222222,0.2,0.2105263157894737,4
1502.04909,12,11,2,0.8846153846153846,0.4166666666666667,0.3125,0.35714285714285715,2
1510.00210,8,7,3,0.8194444444444444,0.25,0.2222222222222222,0.23529411764705882,3
1510.00716,9,5,3,0.9166666666666666,0.45454545454545453,0.5,0.47619047619047616,3
1510.01138,11,8,2,0.9015151515151515,0.5454545454545454,0.42857142857142855,0.4799999999999999,2
1510.01448,7,5,2,0.8611111111111112,0.375,0.375,0.375,2
1612.00053,10,12,4,0.8181818181818182,0.2,0.14285714285714285,0.16666666666666666,4
1612.00217,2,1,1,0.8,0.25,0.5,0.3333333333333333,0-1
1612.00463,14,13,3,0.9142857142857143,0.6428571428571429,0.4090909090909091,0.5000000000000001,3
1612.00629,11,5,2,0.9444444444444444,0.2777777777777778,0.45454545454545453,0.3448275862068966,2
1701.00003,16,20,7,,,,,7-10
1701.00016,13,11,3,0.9010989010989011,0.5384615384615384,0.3684210526315789,0.4375,3
1701.00452,12,6,2,0.9294871794871795,0.5833333333333334,0.5384615384615384,0.5599999999999999,2
1701.00648,9,8,4,0.8444444444444444,0.3333333333333333,0.2727272727272727,0.3,4
1701.00692,14,9,2,0.9238095238095239,0.5,0.4375,0.4666666666666667,2
1701.00847,9,7,4,0.8727272727272727,0.3,0.3,0.3,4
1701.00986,10,7,4,0.8863636363636364,0.2727272727272727,0.3,0.28571428571428564,4
1701.01408,11,9,7,0.8712121212121212,0.2727272727272727,0.25,0.2608695652173913,7-10
1701.01686,5,3,1,0.8,0.4,0.4,0.4000000000000001,0-1
1701.01815,6,4,2,0.8333333333333334,0.5,0.42857142857142855,0.4615384615384615,2
1801.04910,13,9,5,0.9120879120879121,0.46153846153846156,0.4,0.42857142857142855,5-6
1810.00524,14,7,2,0.9375,0.4666666666666667,0.5,0.4827586206896552,2
1810.00641,16,12,2,0.9342105263157895,0.3157894736842105,0.3333333333333333,0.3243243243243243,2
1810.01085,11,7,3,0.8939393939393939,0.36363636363636365,0.36363636363636365,0.36363636363636365,3
1810.01819,5,4,2,0.7333333333333333,0.2,0.2,0.20000000000000004,2
1810.01936,7,5,1,0.8392857142857143,0.42857142857142855,0.375,0.39999999999999997,0-1
1812.11581,13,7,2,0.9285714285714286,0.5384615384615384,0.5,0.5185185185185186,2
1901.00089,14,10,3,0.919047619047619,0.5,0.4117647058823529,0.45161290322580644,3
1901.00781,7,2,1,0.9285714285714286,0.7142857142857143,0.7142857142857143,0.7142857142857143,0-1
1908.00372,7,2,2,0.9423076923076923,0.4166666666666667,0.7142857142857143,0.5263157894736842,2
1908.00778,4,2,1,0.8,0.5,0.5,0.5,0-1
1908.01025,8,5,3,0.8611111111111112,0.375,0.375,0.375,3
1908.01434,13,10,4,0.8901098901098901,0.23076923076923078,0.23076923076923078,0.23076923076923078,4
2012.15327,6,6,2,0.7857142857142857,0.5,0.3333333333333333,0.4,2
2201.02359,12,8,4,0.8974358974358975,0.3333333333333333,0.3333333333333333,0.3333333333333333,4
2204.00093,8,5,1,0.875,0.5,0.4444444444444444,0.47058823529411764,0-1
2301.00029,15,8,2,0.9375,0.5333333333333333,0.5,0.5161290322580646,2
2312.08485,6,3,2,0.8809523809523809,0.6666666666666666,0.5714285714285714,0.6153846153846153,2
2401.01364,7,5,2,0.8392857142857143,0.42857142857142855,0.375,0.39999999999999997,2
2404.04045v1,10,10,2,0.8454545454545455,0.4,0.26666666666666666,0.32,2
2412.17095,6,2,1,0.9047619047619048,0.6666666666666666,0.6666666666666666,0.6666666666666666,0-1
2501.01969,8,4,2,0.9027777777777778,0.625,0.5555555555555556,0.5882352941176471,2
cond-mat9704033,16,25,7,0.8602941176470589,0.1875,0.10714285714285714,0.13636363636363635,7-10
cond-mat9704091,15,11,4,0.9125,0.3333333333333333,0.3125,0.3225806451612903,4
math/9201230,5,1,1,0.9333333333333333,0.8,0.8,0.8000000000000002,0-1
physics9704005,15,15,2,0.9044117647058824,0.375,0.2727272727272727,0.3157894736842105,2
