bucket,count,mean_accuracy,median_accuracy,mean_precision,median_precision,mean_recall,median_recall,mean_f1,median_f1,mean_n_equations,mean_n_edges
2,33,0.8996993746993748,0.8909090909090909,0.4332438321912006,0.4166666666666667,0.7550244200244199,1.0,0.5207919857919857,0.5,9.575757575757576,5.212121212121212
0-1,20,0.870138622061699,0.8888888888888888,0.2895787545787546,0.14285714285714285,0.4716783216783217,0.3333333333333333,0.28558834328065097,0.2,9.3,3.7
3,20,0.9343212343212343,0.9412087912087912,0.5966432027356398,0.542483660130719,0.6689239332096475,0.6904761904761905,0.616296545545314,0.6228448275862071,10.25,7.25
5-6,18,0.9324788433244316,0.93125,0.5556007881007882,0.5523809523809524,0.6589179841897234,0.6515151515151515,0.5958937978042852,0.5982142857142858,13.055555555555555,12.055555555555555
4,11,0.9348498723498723,0.9306318681318682,0.6062091503267973,0.4852941176470588,0.7615384615384615,0.8846153846153846,0.6493719806763285,0.6533333333333333,12.545454545454545,9.454545454545455
7-10,5,0.8996547899411675,0.8846153846153846,0.30344827586206896,0.3103448275862069,0.2585858585858586,0.2,0.2671420083184789,0.26666666666666666,16.8,17.4
