bucket,count,mean_accuracy,median_accuracy,mean_precision,median_precision,mean_recall,median_recall,mean_f1,median_f1,mean_n_equations,mean_n_edges
2,33,0.8775127660032934,0.8909090909090909,0.4925637470843421,0.4782608695652174,0.7723075290722349,0.8333333333333334,0.5959097930383649,0.5945945945945945,9.575757575757576,5.212121212121212
0-1,20,0.8608791187771205,0.9090909090909091,0.4739422520799039,0.47619047619047616,0.6872627372627372,0.8,0.5543717270171041,0.6060606060606061,9.3,3.7
3,20,0.9077858164653322,0.909037558685446,0.5530735798592942,0.5504201680672269,0.786075036075036,0.7777777777777778,0.6434187403042869,0.6303448275862069,10.25,7.25
5-6,18,0.90927682981377,0.9139798398627395,0.47628942207235214,0.4642857142857143,0.7107346450419206,0.6990950226244343,0.568104961844446,0.5516154452324664,13.055555555555555,12.055555555555555
4,11,0.9042869849055301,0.9227591036414566,0.4755034617867717,0.5058064516129033,0.8205882352941177,0.9117647058823529,0.5995485392224523,0.6444444444444444,12.545454545454545,9.454545454545455
7-10,5,0.8657157412124299,0.8509933774834437,0.2362568715642179,0.2413793103448276,0.3458937198067633,0.3333333333333333,0.2800269905533063,0.2692307692307692,16.8,17.4
