bucket,count,mean_accuracy,median_accuracy,mean_precision,median_precision,mean_recall,median_recall,mean_f1,median_f1,mean_n_equations,mean_n_edges
2,27,0.8027777777777778,0.7761904761904762,0.4583333333333333,0.41666666666666663,0.44920634920634916,0.3666666666666667,0.44785353535353534,0.38181818181818183,9.444444444444445,6.222222222222222
4,12,0.7615079365079365,0.7615079365079365,0.19934640522875818,0.19934640522875818,0.32539682539682535,0.32539682539682535,0.2361111111111111,0.2361111111111111,12.0,9.0
3,10,0.6892857142857143,0.6892857142857143,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.35714285714285715,9.9,7.4
0-1,9,,,,,,,,,6.0,3.0
7-10,4,0.8035714285714286,0.8035714285714286,0.2857142857142857,0.2857142857142857,0.25,0.25,0.26666666666666666,0.26666666666666666,15.25,18.0
5-6,2,0.9166666666666666,0.9166666666666666,0.45454545454545453,0.45454545454545453,0.5,0.5,0.47619047619047616,0.47619047619047616,11.5,9.5
