bucket,count,mean_accuracy,median_accuracy,mean_precision,median_precision,mean_recall,median_recall,mean_f1,median_f1,mean_n_equations,mean_n_edges
2,27,0.8988702256031118,0.919047619047619,0.5153889295100166,0.5333333333333333,0.5436893353560021,0.5555555555555556,0.5222095415105132,0.5333333333333333,9.444444444444445,6.222222222222222
4,12,0.9256419536368657,0.9221590909090909,0.5000113190902664,0.5,0.5891706672956672,0.6396103896103896,0.5271524095939382,0.5056306306306306,12.0,9.0
3,10,0.8958913308913308,0.9084249084249084,0.5268046953046953,0.512987012987013,0.5439781451778356,0.5454545454545454,0.5308177933177933,0.5119047619047619,9.9,7.4
0-1,9,0.8654160654160654,0.8863636363636364,0.5397435897435897,0.5,0.5872134038800705,0.5,0.5571969850742229,0.5,6.0,3.0
7-10,4,0.9124181703516069,0.9227941176470589,0.49516908212560384,0.5,0.42604617604617606,0.4090909090909091,0.4571895424836601,0.45,15.25,18.0
5-6,2,0.9357575757575758,0.9357575757575758,0.47435897435897434,0.47435897435897434,0.7666666666666666,0.7666666666666666,0.5607407407407408,0.5607407407407408,11.5,9.5
